naam;peildatum;longitude;latitude
067.512 , Den Bieselaar , Bieselaar , 15 , 5109 BA , 'S GRAVENMOER;2026-08-26;4.94385421;51.65992212
067.501 , Julianalaan , Havenkade , 2 , 5109 RK , 'S GRAVENMOER;2026-08-26;4.94768857;51.65796831
067.505 , EMMALAAN , Hoofdstraat , 2-B , 5109 AC , 'S GRAVENMOER;2026-08-26;4.93996706;51.65757383
067.513 , Hoofdstraat B2 , Hoofdstraat , 30 , 5109 AC , 'S GRAVENMOER;2026-08-26;4.94040257;51.65533422
067.503 , HOOFDSTRAAT A1 , Hoofdstraat , 67-A , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94204507;51.65218308
067.054 , LE DUC , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94195771;51.65134051
067.507 , Kerkebosdreef , Kerkebosdreef , 71 , 5109 TP , 'S GRAVENMOER;2026-08-26;4.93622526;51.65716491
067.514 , Klipper , Klipper , 1 , 5109 SK , 'S GRAVENMOER;2026-08-26;4.94794914;51.65997443
067.053 , CHANTRAL , Vaartweg , 22 , 5109 RC , 'S GRAVENMOER;2026-08-26;4.95188551;51.65596986
067.502 , Vaartweg , Vaartweg , 4 , 5109 RC , 'S GRAVENMOER;2026-08-26;4.95448886;51.65894895
067.504 , Boveneind , Vaartweg , 72 , 5109 RD , 'S GRAVENMOER;2026-08-26;4.95581843;51.65280783
067.515 , Waspikseweg , Waspikse weg , 25 , 5109 PE , 'S GRAVENMOER;2026-08-26;4.94665162;51.67365656
067.510 , Wielstraat C3 , Wielstraat , 18 , 5109 TK , 'S GRAVENMOER;2026-08-26;4.93616540;51.66632631
067.509 , Wielstraat B2 , Wielstraat , 24 , 5109 TK , 'S GRAVENMOER;2026-08-26;4.93077176;51.67477452
067.511 , Het Wiel , Wielstraat , 29-D , 5109 TK , 'S GRAVENMOER;2026-08-26;4.93892549;51.66050387
067.508 , Wielstraat A1 , Wielstraat , 31 , 5109 TK , 'S GRAVENMOER;2026-08-26;4.93351027;51.67013589
KPN.681266 , Lenthestraat 25T , J.W. van Lenthestraat , 25 , 8275 AH , 'S-HEERENBROEK;2026-08-26;6.01525716;52.53642320
KPN.681135 , SCHOOLSTG 1b , Schoolsteeg , 1-b , 8275 AE , 'S-HEERENBROEK;2026-08-26;6.00620196;52.53566464
KPN.681214 , Stuurmansweg 2 , Stuurmansweg , 2 , 8275 AJ , 'S-HEERENBROEK;2026-08-26;6.01277280;52.54008674
KPN.681119 , STUURMANSWG 8A , Stuurmansweg , 8-A , 8275 AJ , 'S-HEERENBROEK;2026-08-26;6.01812979;52.54156935
KPN.682044 , VEECATERDK 4 , Veecaterdijk , 4 , 8275 AG , 'S-HEERENBROEK;2026-08-26;5.99527412;52.53070761
KPN.681032 , ZWOLSEWG 127b , Zwolseweg , 127-b , 8275 AD , 'S-HEERENBROEK;2026-08-26;6.02538270;52.53235358
KPN.681308 , Zwolseweg 21T , Zwolseweg , 21 , 8275 AB , 'S-HEERENBROEK;2026-08-26;5.99495284;52.53640092
KPN.681091 , ZWOLSEWG 44a , Zwolseweg , 44-a , 8271 RC , 'S-HEERENBROEK;2026-08-26;5.95900491;52.54484123
KPN.681037 , ZWOLSEWG 48b , Zwolseweg , 48-b , 8275 AA , 'S-HEERENBROEK;2026-08-26;5.96564008;52.54247186
KPN.681039 , ZWOLSEWG 58a , Zwolseweg , 58-A , 8275 AA , 'S-HEERENBROEK;2026-08-26;6.00113135;52.53650830
KPN.681048 , ZWOLSEWG 79A , Zwolseweg , 79-A , 8275 AC , 'S-HEERENBROEK;2026-08-26;6.01465099;52.53452960
079.010 , Aartshertogen- laan , Aartshertogenlaan , 153 , 5212 CD , 'S-HERTOGENBOSCH;2026-08-26;5.31033429;51.69908944
079.003 , Watertoren , Aastraat , 1 , 5211 NV , 'S-HERTOGENBOSCH;2026-08-26;5.31699131;51.69058040
079.421 , Muntelstraat , Aawal , 11 , 5211 PS , 'S-HERTOGENBOSCH;2026-08-26;5.31540643;51.69173226
079.035 , Rioolgemaal , Acaciasingel , 76 , 5213 VC , 'S-HERTOGENBOSCH;2026-08-26;5.32783219;51.69298935
079.449 , Basilicum , Achter de Tolbrug , 6 , 5211 SM , 'S-HERTOGENBOSCH;2026-08-26;5.30270953;51.69041154
079.008 , Lombardje , Achter het Stadhuis , 15 , 5211 HM , 'S-HERTOGENBOSCH;2026-08-26;5.30344998;51.68760816
079.028 , V&D , Achter het Stadhuis , 9 , 5211 HM , 'S-HERTOGENBOSCH;2026-08-26;5.30321846;51.68790262
079.598 , Achter het Wild Varken , Achter het Wild Varken , 22 , 5211 HK , 'S-HERTOGENBOSCH;2026-08-26;5.30276289;51.68726586
079.926 , achtste Donk , Achtste Donk , 138 , 5233 PE , 'S-HERTOGENBOSCH;2026-08-26;5.31824484;51.72019230
079.784 , Adelheidstraat , Adelheidstraat , 8 , 5231 VA , 'S-HERTOGENBOSCH;2026-08-26;5.30162848;51.70410337
079.140 , Admiraliteitslaan A1 , Admiraliteitslaan , 44 , 5224 EH , 'S-HERTOGENBOSCH;2026-08-26;5.25399347;51.69461753
079.215 , Admiraliteitslaan B2 , Admiraliteitslaan , 902 , 5224 EW , 'S-HERTOGENBOSCH;2026-08-26;5.25053524;51.69634836
079.111 , Ostadestraat, A. van , Adriaan van Ostadestraat , 0 , 5212 AX , 'S-HERTOGENBOSCH;2026-08-26;5.31883710;51.69887416
079.995 , Philippus de Montestraat , Adriaen Willaertstraat , 2 , 5216 GS , 'S-HERTOGENBOSCH;2026-08-26;5.31373195;51.68261068
079.891 , Afrikalaan B2 , Afrikalaan , 0 , 5232 BD , 'S-HERTOGENBOSCH;2026-08-26;5.33585043;51.70838154
079.392 , Andego , Afrikalaan , 12 , 5232 BD , 'S-HERTOGENBOSCH;2026-08-26;5.33794688;51.70693520
079.356 , Afrikalaan A1 , Afrikalaan , 7 , 5232 BD , 'S-HERTOGENBOSCH;2026-08-26;5.33597679;51.70645653
079.633 , SAP , Amerikastraat , 10 , 5232 BE , 'S-HERTOGENBOSCH;2026-08-26;5.33917063;51.71286962
079.341 , Amerikastraat , Amerikastraat , 3 , 5232 BE , 'S-HERTOGENBOSCH;2026-08-26;5.33929648;51.71167165
AML.611287 , Columbus 3 , Columbus , 3 , 7609 RM , ALMELO;2026-08-26;6.64002393;52.32189339
079.357 , Nashua , Amerikastraat , 7 , 5232 BE , 'S-HERTOGENBOSCH;2026-08-26;5.34022259;51.71173144
079.322 , Anderlynstraat , Anderlijnstraat , 31 ,  , 'S-HERTOGENBOSCH;2026-08-26;5.31902064;51.69195799
079.732 , Antoon der Kinderenlaan , Antoon der Kinderenlaan , 0 ,  , 'S-HERTOGENBOSCH;2026-08-26;5.31117624;51.69674290
079.422 , Acer , Australielaan , 10 , 5232 BB , 'S-HERTOGENBOSCH;2026-08-26;5.34174430;51.70858827
079.505 , Versatel , Australielaan , 14 , 5232 BB , 'S-HERTOGENBOSCH;2026-08-26;5.34196086;51.70919374
079.558 , Cadmes , Australielaan , 8 , 5232 BB , 'S-HERTOGENBOSCH;2026-08-26;5.34114724;51.70864919
079.397 , Hesdo A1 , Azielaan , 12 , 5232 BA , 'S-HERTOGENBOSCH;2026-08-26;5.34085664;51.70763305
079.485 , Acer III , Azielaan , 20 , 5232 BA , 'S-HERTOGENBOSCH;2026-08-26;5.34120702;51.70739713
079.484 , Acer II , Azielaan , 22-A , 5232 BA , 'S-HERTOGENBOSCH;2026-08-26;5.34300517;51.70770940
079.739 , Baden Powellstraat 2 , Baden Powellstraat , 2 , 5212 BW , 'S-HERTOGENBOSCH;2026-08-26;5.31114438;51.69670437
079.006 , Baksvelstraat , Baksvelstraat , 92 , 5223 XM , 'S-HERTOGENBOSCH;2026-08-26;5.27757150;51.68930081
079.075 , Balistraat , Balistraat , 19 , 5215 AW , 'S-HERTOGENBOSCH;2026-08-26;5.32988113;51.68794124
079.663 , de Diepteweg , Balkbrug-Oost , 1 , 5236 PW , 'S-HERTOGENBOSCH;2026-08-26;5.32779394;51.72556131
079.814 , Steady Vloerenservice B.V. , Balkbrug-Oost , 63 , 5236 PW , 'S-HERTOGENBOSCH;2026-08-26;5.33105688;51.72653195
079.261 , Balkweg , Balkweg , 1 , 5232 BT , 'S-HERTOGENBOSCH;2026-08-26;5.32881194;51.70896871
079.780 , Udenhout v.d. , Balkweg , 1 , 5232 BT , 'S-HERTOGENBOSCH;2026-08-26;5.33076197;51.70950363
079.314 , VDB A1 , Balkweg , 2 , 5232 BV , 'S-HERTOGENBOSCH;2026-08-26;5.32999574;51.70736946
079.740 , Barbaraplaats , Barbaraplaats , 75 , 5211 SK , 'S-HERTOGENBOSCH;2026-08-26;5.30167602;51.69136373
079.499 , Haarsteegseweg Engelen Inkoop , Baron van der Aaweg , 0 , 5221 CA , 'S-HERTOGENBOSCH;2026-08-26;5.22792453;51.73650365
079.081 , Antoniegaarde , Baselaarsstraat , 14 , 5211 LR , 'S-HERTOGENBOSCH;2026-08-26;5.31520303;51.68683600
079.012 , Wilhelminapark , Bastion Vught , 1 , 5211 CZ , 'S-HERTOGENBOSCH;2026-08-26;5.29535413;51.68310958
079.649 , Beeckendael , Beeckendael , 32 , 5221 PL , 'S-HERTOGENBOSCH;2026-08-26;5.24296565;51.72900303
079.409 , Burg. God- schalkxstr. , Belgeren , 10 , 5235 AM , 'S-HERTOGENBOSCH;2026-08-26;5.31760001;51.72467292
079.486 , Empel Noord A1 , Berenklauw , 2 , 5236 SE , 'S-HERTOGENBOSCH;2026-08-26;5.33036424;51.73639640
079.817 , Berenklauw , Berenklauw , 37 , 5236 SC , 'S-HERTOGENBOSCH;2026-08-26;5.33305863;51.73442284
079.100 , Berewoutstraat , Berewoutstraat , 3 , 5211 DJ , 'S-HERTOGENBOSCH;2026-08-26;5.29827126;51.68729742
079.963 , Berkenstraat , Berkenstraat , 1 , 5213 VK , 'S-HERTOGENBOSCH;2026-08-26;5.32502232;51.69401993
079.897 , Bernestraat , Bernestraat , 15 , 5211 PK , 'S-HERTOGENBOSCH;2026-08-26;5.31279439;51.69022172
