naam;peildatum;longitude;latitude
177.534 WC Toilet , BRUGDAM ALMKERK , Brugdam , 10 , 4286 AZ , ALMKERK;26-6-2026;496.696.964;5.176.943.216
009.509 WC Toilet , Leliestraat , Leliestraat , 1 , 5111 VK , BAARLE-NASSAU;26-6-2026;492.554.378;5.144.494.864
016.501 WC Toilet , NB TRAPPISTINNENKLOOSTER , Abdijlaan , 21 , 5056 GA , BERKEL-ENSCHOT;26-6-2026;513.891.140;5.158.363.805
119.515 WC Toilet , Bavelsestraat A1 , Kapelerf , 8 , 4849 BZ , DORST;26-6-2026;485.550.244;5.158.925.250
056.506 WC Toilet , ZUIDWAL WC Toilet , Zuidwal , 121 , 4931 DC , GEERTRUIDENBERG;26-6-2026;485.832.939;5.169.959.524
068.505 WC Toilet , Holeindsestraat , Kantstraat , 10 , 5076 NR , HAAREN;26-6-2026;522.168.032;5.160.799.803
081.506 WC Toilet , Molenstraat , Gelderstraat , 76-B , 5081 AD , HILVARENBEEK;26-6-2026;513.866.251;5.148.052.182
096.507 WC Toilet , TRAMLAAN KAATSHEUVEL , Pastoor Simkensstraat , 4 , 5171 LB , KAATSHEUVEL;26-6-2026;504.756.508;5.165.537.031
117.510 WC Toilet , Pr. Margrietstr. met magazijn , Prinses Margrietstraat , 6 , 5061 TL , OISTERWIJK;26-6-2026;517.437.993;5.157.645.916
119.522 WC Toilet , Industrieterrein , Havenweg , 43 , 4905 AA , OOSTERHOUT NB;26-6-2026;484.946.580;5.165.249.586
063.521 WC Toilet , Marijkestraat  , Marijkestraat , 10-A , 5121 XC , RIJEN;26-6-2026;492.103.017;5.158.810.046
172.511 WC Toilet , NOTENLAAN SLEEUWIJK , Notenlaan , 7 , 4254 CA , SLEEUWIJK;26-6-2026;494.864.276;5.181.988.993
152.6100 WC Toilet , STOKHASSELT , Bellinistraat , 358 , 5049 CR , TILBURG;26-6-2026;507.581.638;5.158.347.247
064.501 WC Toilet , Kom Ulvenhout , Mgr. Van Hooijdonkstraat , 8 , 4851 CZ , ULVENHOUT;26-6-2026;479.712.340;5.154.954.234
164.508 WC Toilet , MGR. V. KESSELSTRAAT , Monseigneur van Kesselstraat , 28-T , 5251 AX , VLIJMEN;26-6-2026;522.247.604;5.169.551.606
168.5042 WC Toilet , MR. VAN HOUTENSTRAAT , Mr. van Houtenstraat , 10 , 5142 TK , WAALWIJK;26-6-2026;508.412.005;5.169.027.511
001.532 WC Toilet , KERKSTRAAT , Grote Kerkstraat , 53 , 4261 BC , WIJK EN AALBURG;26-6-2026;513.104.444;5.176.093.355
