naam;peildatum;longitude;latitude
067.VK004 , Capelseweg , 2 , 5109 RG , 'S GRAVENMOER;2026-08-26;4.95454233;51.66032128
067.VK003 , Grutterijstraat , 55 , 5109 TE , 'S GRAVENMOER;2026-08-26;4.94353393;51.65898587
067.VK007 , Havenkade , 22 , 5109 RK , 'S GRAVENMOER;2026-08-26;4.94660247;51.65951788
067.SK016 , Hoofdstraat , 14 , 5109 AC , 'S GRAVENMOER;2026-08-26;4.94072360;51.65689287
067.VK018 , Hoofdstraat , 54 , 5109 AD , 'S GRAVENMOER;2026-08-26;4.94125548;51.65360779
067.SK008 , Julianalaan , 19 , 5109 RH , 'S GRAVENMOER;2026-08-26;4.95102177;51.65887472
067.SK013 , Kerkdijk , 8 , 5109 TL , 'S GRAVENMOER;2026-08-26;4.93901206;51.65837957
 , Kerkebosdreef , 21-A , 5109 TN , 'S GRAVENMOER;2026-08-26;4.93955510;51.65694550
067.SK009 , Kerkebosdreef , 61 , 5109 TP , 'S GRAVENMOER;2026-08-26;4.93814939;51.65693433
067.VK017 , Lange Veertel , 2 , 5109 BG , 'S GRAVENMOER;2026-08-26;4.94076537;51.66013218
067.SK005 , Molendijk , 19 , 5109 RL , 'S GRAVENMOER;2026-08-26;4.94322608;51.65837024
067.SK011 , Prinsenstraat , 2 , 5109 TJ , 'S GRAVENMOER;2026-08-26;4.94239675;51.65920815
067.VK014 , Stevenshof , 9 , 5109 TX , 'S GRAVENMOER;2026-08-26;4.93671263;51.65822502
067.SK002 , Vaartweg , 27 , 5109 RA , 'S GRAVENMOER;2026-08-26;4.95588419;51.65528096
067.SK012 , Vaartweg , 44 , 5109 RC , 'S GRAVENMOER;2026-08-26;4.95553393;51.65616144
067.VK010 , Wielstraat , 5 , 5109 TK , 'S GRAVENMOER;2026-08-26;4.94000153;51.65851121
KPN.1v1896 , Bisschopswetering , 11 , 8275 AK , 'S-HEERENBROEK;2026-08-26;6.01418455;52.53658024
KPN.1v1897 , Bisschopswetering , 56 , 8275 AP , 'S-HEERENBROEK;2026-08-26;6.01158639;52.53936017
KPN.1v3305 , Bisschopswetering , 6 , 8275 AN , 'S-HEERENBROEK;2026-08-26;6.01453546;52.53587626
KPN.1v1793 , Bisschopswetering , 85 ,  , 'S-HEERENBROEK;2026-08-26;5.99075684;52.56733581
KPN.1v1894 , Zwolseweg , 111 , 8275 AD , 'S-HEERENBROEK;2026-08-26;6.02022163;52.53427024
KPN.1v3108 , Zwolseweg , 38 , 8271 RC , 'S-HEERENBROEK;2026-08-26;5.93840145;52.55242421
KPN.1v3310 , Zwolseweg , 52 , 8275 AA , 'S-HEERENBROEK;2026-08-26;5.99539894;52.53655726
LS-037414 , 's-Gravesandestraat , 2 , 5223 BS , 'S-HERTOGENBOSCH;2026-08-26;5.29115479;51.69373461
LS-024351 , Aalscholverlaan , 40 , 5221 GK , 'S-HERTOGENBOSCH;2026-08-26;5.26336738;51.71967885
 , Aartshertogenlaan , 223 , 5212 CG , 'S-HERTOGENBOSCH;2026-08-26;5.31267349;51.69880162
LS-024644 , Aartshertogenlaan , 23 , 5212 CB , 'S-HERTOGENBOSCH;2026-08-26;5.30681240;51.69920462
LS-024709 , Aartshertogenlaan , 382 , 5212 CW , 'S-HERTOGENBOSCH;2026-08-26;5.31721406;51.69926626
LS-024645 , Aartshertogenlaan , 89 , 5212 CC , 'S-HERTOGENBOSCH;2026-08-26;5.30854027;51.69903807
OVK , Aawal , 11 , 5211 PS , 'S-HERTOGENBOSCH;2026-08-26;5.31545214;51.69171342
OVK , Aawal , 13 , 5211 PS , 'S-HERTOGENBOSCH;2026-08-26;5.31540656;51.69169128
LS-024480 , Acaciasingel , 68 , 5213 VC , 'S-HERTOGENBOSCH;2026-08-26;5.32764769;51.69298668
