naam;peildatum;longitude;latitude
DGN.807 , Havenkade 2 , Havenkade , 2 , 5109 RK , 'S GRAVENMOER;2026-06-26;4.94713640;51.65849971
DGN.800 , Kerkebosdreef 2 , Kerkebosdreef , 2 , 5109 TP , 'S GRAVENMOER;2026-06-26;4.94009676;51.65683916
DGN.804 , TUINBOUWBEDRIJF CHANTREL , Vaartweg , 22 , 5109 RC , 'S GRAVENMOER;2026-06-26;4.95193155;51.65584775
DGN.806 , V BRAGT , Wielstraat , 18 , 5109 TK , 'S GRAVENMOER;2026-06-26;4.93640772;51.66595317
040.H222 , Wielstraat 31 , Wielstraat , 31 , 5109 TK , 'S GRAVENMOER;2026-06-26;4.93350208;51.67015463
KPN.16c005 , Bisschopswetering 1 , Bisschopswetering , 1 , 8275 AK , 'S-HEERENBROEK;2026-06-26;6.01536260;52.53581612
KPN.16b022 , Bisschopswetering 1 , Bisschopswetering , 1 , 8275 AK , 'S-HEERENBROEK;2026-06-26;6.01538293;52.53582124
KPN.20b017 , SCHOOLSTG 1a , Schoolsteeg , 1-A , 8275 AE , 'S-HEERENBROEK;2026-06-26;6.00561542;52.53530476
KPN.20F161 , Zwolseweg 19 , Zwolseweg , 19 , 8275 AB , 'S-HEERENBROEK;2026-06-26;5.99431925;52.53662746
KPN.20f162 , Zwolseweg 21 en 23 , Zwolseweg , 23 , 8275 AB , 'S-HEERENBROEK;2026-06-26;5.99620900;52.53646930
KPN.20f163 , ZWOLSEWEG 25 , Zwolseweg , 25 , 8275 AB , 'S-HEERENBROEK;2026-06-26;5.99688777;52.53643199
KPN.20f164 , Zwolseweg 27 , Zwolseweg , 27 , 8275 AB , 'S-HEERENBROEK;2026-06-26;5.99808552;52.53625709
KPN.20f165 , Zwolseweg 29 , Zwolseweg , 29 , 8275 AB , 'S-HEERENBROEK;2026-06-26;5.99950320;52.53612348
KPN.20f166 , Zwolseweg 31 , Zwolseweg , 31 , 8275 AB , 'S-HEERENBROEK;2026-06-26;6.00183314;52.53577534
KPN.20f016 , Zwolseweg 50 , Zwolseweg , 50 , 8275 AA , 'S-HEERENBROEK;2026-06-26;5.99163848;52.53728947
KPN.20F167 , Zwolseweg 52 , Zwolseweg , 52 , 8275 AA , 'S-HEERENBROEK;2026-06-26;5.99522127;52.53685022
KPN.20F168 , Zwolseweg 54 en 54A , Zwolseweg , 54 , 8275 AA , 'S-HEERENBROEK;2026-06-26;5.99685097;52.53668289
KPN.20F169 , Zwolseweg 56 , Zwolseweg , 56 , 8275 AA , 'S-HEERENBROEK;2026-06-26;5.99875720;52.53646737
KPN.20f170 , Zwolseweg 60 , Zwolseweg , 60 , 8275 AA , 'S-HEERENBROEK;2026-06-26;6.00449136;52.53599021
KPN.20f111 , ZWOLSEWG 68 , Zwolseweg , 68 , 8275 AA , 'S-HEERENBROEK;2026-06-26;6.01226532;52.53577374
KPN.20f112 , Zwolseweg 70 en 70A , Zwolseweg , 70 , 8275 AA , 'S-HEERENBROEK;2026-06-26;6.01794450;52.53481167
079.033 , aartshertogenlaan , Aartshertogenlaan , 395 , 5212 CK , 'S-HERTOGENBOSCH;2026-06-26;5.31874792;51.69886373
079.018 , Balkweg , Balkweg , 6 , 5232 BV , 'S-HERTOGENBOSCH;2026-06-26;5.33794772;51.70864101
079.089 , Burg. Godschalxstraat , Belgeren , 1 , 5235 AM , 'S-HERTOGENBOSCH;2026-06-26;5.31793321;51.72475792
079.089 Nieuw , Burg. Godschalxstraat , Belgeren , 1 , 5235 AM , 'S-HERTOGENBOSCH;2026-06-26;5.31797598;51.72473755
079.038 , bethaniestraat , Bethaniestraat , 16 , 5211 LJ , 'S-HERTOGENBOSCH;2026-06-26;5.31277754;51.68674009
079.037 , reinier v arkel , Bethaniestraat , 2 , 5211 LJ , 'S-HERTOGENBOSCH;2026-06-26;5.31280624;51.68672083
079.028 , bilderdijkstraat , Bilderdijkstraat , 1 , 5216 TA , 'S-HERTOGENBOSCH;2026-06-26;5.32806181;51.68408434
079.074 , bloemenkamp , Bloemenkamp , 88 , 5211 XK , 'S-HERTOGENBOSCH;2026-06-26;5.30459791;51.69220085
079.023 , Buitenhaven , Buitenhaven , 4 , 5211 TP , 'S-HERTOGENBOSCH;2026-06-26;5.29913184;51.69050701
079.079 , ST.LANDOLINUSLAAN , Burgemeesters Godschalxstraat , 1 , 5236 AA , 'S-HERTOGENBOSCH;2026-06-26;5.32913312;51.73218851
079.042 , C.W.S. , De Beverspijken , 16 , 5221 ED , 'S-HERTOGENBOSCH;2026-06-26;5.26485732;51.71272091
079.067 , kabouters , De Kabouters , 34 , 5231 WK , 'S-HERTOGENBOSCH;2026-06-26;5.30463940;51.71567921
079.029 , De Meerheuvel , De Meerheuvel , 13 , 5221 EA , 'S-HERTOGENBOSCH;2026-06-26;5.26231605;51.71358080
079.097 , De Steenbok , De Steenbok , 1 , 5215 MG , 'S-HERTOGENBOSCH;2026-06-26;5.35885863;51.68692051
079.075 , de vlacie , De Vlacie , 2 , 5221 AL , 'S-HERTOGENBOSCH;2026-06-26;5.26901141;51.71923603
079.075nieuw , DE VLACIE , De Vlacie , 2 , 5221 AL , 'S-HERTOGENBOSCH;2026-06-26;5.26914408;51.71932159
079.062 , derde hambak , Derde Hambaken , 15 , 5231 SE , 'S-HERTOGENBOSCH;2026-06-26;5.30657212;51.71292466
079.066A , veemarkt , Diezekade , 2 , 5222 AK , 'S-HERTOGENBOSCH;2026-06-26;5.29385594;51.69906866
079.099 , Donksestraat 12 , Donksestraat , 12 , 5216 VX , 'S-HERTOGENBOSCH;2026-06-26;5.35280772;51.67186120
044.334 , Kapteyns , Donksestraat , 35 , 5216 VX , 'S-HERTOGENBOSCH;2026-06-26;5.35274535;51.67169644
079.013 , harendreef , Eerste Haren , 25 , 5233 BA , 'S-HERTOGENBOSCH;2026-06-26;5.32411436;51.71424543
134.133 IN , GROENGAS INV. VOF V. ASSELDONK-VAN ZWAGT , Empelsehoefweg , 8 , 5236 BW , 'S-HERTOGENBOSCH;2026-06-26;5.36261638;51.74628160
079.093 , Empelseweg , Empelseweg , 17 , 5236 PA , 'S-HERTOGENBOSCH;2026-06-26;5.33017795;51.72893350
079.083 , Zwartebroekweg , Fregatlaan , 1 , 5237 PT , 'S-HERTOGENBOSCH;2026-06-26;5.28685226;51.73028391
079.022nieuw , GELDERSEDAM , Geldersedam , 1 , 5212 RA , 'S-HERTOGENBOSCH;2026-06-26;5.31444368;51.69320134
079.022 , geldersedam , Geldersedam , 1 , 5212 RA , 'S-HERTOGENBOSCH;2026-06-26;5.31440921;51.69311955
079.014 , Fleringen , Gooiland , 33 , 5235 NE , 'S-HERTOGENBOSCH;2026-06-26;5.30573536;51.72876405
079.030 , Gr. v. Solmsweg , Graaf van Solmsweg , 46 , 5222 BP , 'S-HERTOGENBOSCH;2026-06-26;5.27233517;51.71256008
079.035 , rijnstraat , Grevelingen , 66 , 5215 ES , 'S-HERTOGENBOSCH;2026-06-26;5.32294619;51.68981728
079.039 , hennenweide , Hennen Weide , 4 , 5221 BR , 'S-HERTOGENBOSCH;2026-06-26;5.24141229;51.73305418
079.053 , hervensebaan , Hervensebaan , 11-DIV , 5232 JL , 'S-HERTOGENBOSCH;2026-06-26;5.32530170;51.70381141
079.053nieuw , HERVENSEBAAN , Hervensebaan , 6 , 5232 JL , 'S-HERTOGENBOSCH;2026-06-26;5.32517910;51.70385305
079.088 , Wurth , Het Sterrenbeeld , 36 , 5215 ML , 'S-HERTOGENBOSCH;2026-06-26;5.35629953;51.68909353
