naam;peildatum;longitude;latitude
DGN.1153-3544 , Havenkade , 4 , 5109 RK , 'S GRAVENMOER;2026-08-26;4.94718883;51.65853625
DGN.1153-3545 , Havenkade , 4 , 5109 RK , 'S GRAVENMOER;2026-08-26;4.94729825;51.65852181
DGN.0645-1963 , Hoofdstraat , 17 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94075608;51.65695827
DGN.000480 , Hoofdstraat , 17 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94090085;51.65694222
DGN.0645-1964 , Hoofdstraat , 17 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94090720;51.65697215
DGN.000478 , Hoofdstraat , 17 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94089722;51.65695045
DGN.0644-1962 , Hoofdstraat , 19 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94097538;51.65675661
DGN.0643-1961 , Hoofdstraat , 31 , 5109 AA , 'S GRAVENMOER;2026-08-26;4.94113159;51.65568136
DGN.0642-1960 , Hoofdstraat , 36 , 5109 AC , 'S GRAVENMOER;2026-08-26;4.94107356;51.65513685
DGN.0635-1953 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94175510;51.65144329
DGN.0635-1951 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94174870;51.65143834
DGN.0635-1948 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94175666;51.65143435
DGN.0635-1950 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94173912;51.65145588
DGN.0635-1949 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94178696;51.65142736
DGN.0635-1952 , Hoofdstraat , 75 , 5109 AB , 'S GRAVENMOER;2026-08-26;4.94178305;51.65144970
DGN.0650-1977 , Julianalaan , 37 , 5109 RH , 'S GRAVENMOER;2026-08-26;4.95398670;51.65924422
